,ID,record_year,record_month,farm_code,cow_number,father_cow_semen_number,mother_cow_semen_number,parity_count,lactation_days,month_age,breeding_count,first_breeding_semen,milk_volume,cow weight,health,season
0,1.0,2013.0,3.0,A,52612,507H7173,96040545,1.0,78.0,26.0,1.0,501H8784,29.4,575.2750993606359,0,spring
1,2.0,2013.0,4.0,A,52612,507H7173,96040545,1.0,107.0,27.0,1.0,501H8784,27.8,575.2750993606359,0,spring
2,3.0,2013.0,5.0,A,52612,507H7173,96040545,1.0,140.0,28.0,2.0,501H8784,9.0,575.2750993606359,0,spring
3,4.0,2013.0,6.0,A,52612,507H7173,96040545,1.0,175.0,29.0,2.0,501H8784,13.0,575.2750993606359,0,summer
4,5.0,2013.0,7.0,A,52612,507H7173,96040545,1.0,210.0,30.0,2.0,501H8784,13.2,575.2750993606359,0,summer
5,6.0,2013.0,8.0,A,52612,507H7173,96040545,1.0,239.0,31.0,2.0,501H8784,15.7,575.2750993606359,0,summer
6,7.0,2013.0,10.0,A,52612,507H7173,96040545,1.0,281.0,33.0,3.0,501H8784,12.8,575.2750993606359,0,fall
7,8.0,2013.0,11.0,A,52612,507H7173,96040545,1.0,311.0,34.0,3.0,501H8784,8.8,575.2750993606359,0,fall
8,9.0,2013.0,12.0,A,52612,507H7173,96040545,1.0,337.0,35.0,3.0,501H8784,9.0,575.2750993606359,0,winter
9,10.0,2014.0,1.0,A,52612,507H7173,96040545,1.0,370.0,36.0,4.0,501H8784,5.0,575.2750993606359,0,winter
10,11.0,2015.0,12.0,A,52612,507H7173,96040545,2.0,31.0,59.0,1.0,14H6080,21.2,575.2750993606359,0,winter
11,12.0,2016.0,1.0,A,52612,507H7173,96040545,2.0,63.0,60.0,1.0,14H6080,15.2,575.2750993606359,0,winter
12,13.0,2016.0,2.0,A,52612,507H7173,96040545,2.0,92.0,61.0,1.0,14H6080,11.0,575.2750993606359,1,winter
13,14.0,2014.0,1.0,A,52613,7H7763,94040425,1.0,192.0,36.0,1.0,7H9346,21.5,575.2750993606359,0,winter
14,15.0,2014.0,2.0,A,52613,7H7763,94040425,1.0,234.0,37.0,1.0,7H9346,20.7,575.2750993606359,0,winter
15,16.0,2014.0,3.0,A,52613,7H7763,94040425,1.0,255.0,38.0,1.0,7H9346,18.7,575.2750993606359,0,spring
